district,price,building_type,street,region,area,ceiling_height
Center,225000.0,monolit,Aram St,Yerevan,142.0,3.0
Center,225000.0,monolit,Yekmalyan St,Yerevan,147.0,2.8
Center,225000.0,monolit,Northern Ave,Yerevan,115.0,3.0
Center,224000.0,monolit,Aram St,Yerevan,126.0,3.0
Center,225000.0,monolit,Aram St,Yerevan,149.0,3.2
Center,27500.0,stone,G.Lusavorich St,Yerevan,32.0,2.6
Center,225000.0,monolit,Aram St,Yerevan,119.0,3.0
Center,28000.0,panel,NarDos St,Yerevan,38.0,2.8
Center,220000.0,monolit,Abovyan St,Yerevan,120.0,3.0
Center,220000.0,stone,Baghramyan Ave (Kentron),Yerevan,130.0,3.2
Center,220000.0,other,Aram St,Yerevan,119.0,2.8
Center,220000.0,monolit,Verin Antarayin,Yerevan,120.0,3.0
Center,220000.0,monolit,Abovyan St,Yerevan,106.0,3.0
Center,220000.0,stone,Mashtots Ave,Yerevan,113.0,3.2
Center,220000.0,monolit,Aram St,Yerevan,128.0,3.0
Center,220000.0,stone,Amiryan St,Yerevan,120.0,3.2
Center,220000.0,stone,Hanrapetutyan dead end,Yerevan,110.0,3.0
Center,80000.0,stone,Khanjyan St,Yerevan,81.0,3.2
Center,220000.0,stone,Mashtots Ave,Yerevan,124.0,3.2
Center,125000.0,stone,Hanrapetutyan St,Yerevan,130.0,3.0
Center,68000.0,stone,Heratsi St,Yerevan,70.0,3.0
Center,32000.0,stone,Hanrapetutyan str  2 alley,Yerevan,64.0,3.2
Center,80000.0,stone,Teryan St,Yerevan,42.0,3.2
Center,220000.0,stone,Nalbandyan St,Yerevan,145.0,3.2
Center,240000.0,monolit,Baghramyan Ave (Kentron),Yerevan,135.0,2.8
Center,240000.0,stone,Teryan St,Yerevan,140.0,2.8
Center,240000.0,monolit,Teryan St,Yerevan,137.0,2.8
Center,240000.0,stone,Pushkin St,Yerevan,120.0,3.2
Center,240000.0,stone,Pushkin St,Yerevan,120.0,3.2
Center,240000.0,other,Teryan St,Yerevan,137.0,3.0
Center,240000.0,monolit,Vardanants St,Yerevan,131.0,3.0
Center,240000.0,monolit,Buzand St,Yerevan,132.0,3.0
Center,315000.0,stone,Tamanyan St,Yerevan,112.0,3.2
Center,270000.0,stone,Tumanyan St,Yerevan,135.0,3.2
Center,270000.0,monolit,Pushkin St,Yerevan,120.0,3.0
Center,270000.0,monolit,Buzand St,Yerevan,135.0,3.2
Center,270000.0,panel,Amiryan St,Yerevan,95.0,2.8
Center,275000.0,other,Vardanants St,Yerevan,135.0,2.8
Center,270000.0,monolit,Aram St,Yerevan,142.0,3.0
Center,270000.0,other,Mashtots Ave,Yerevan,140.0,2.8
Center,270000.0,monolit,Mashtots Ave,Yerevan,130.0,3.0
Center,269000.0,monolit,Amiryan St,Yerevan,149.0,3.0
Center,270000.0,monolit,Buzand St,Yerevan,135.0,3.0
Center,260000.0,monolit,Verin Antarayin,Yerevan,121.0,3.0
Center,260000.0,other,Sayat Nova Ave,Yerevan,140.0,2.8
Center,260000.0,stone,Moskovyan St,Yerevan,90.0,3.2
Center,260000.0,monolit,Sayat Nova Ave,Yerevan,140.0,3.0
Center,260000.0,stone,Frik St,Yerevan,125.0,3.0
Center,320000.0,monolit,Aram St,Yerevan,142.0,3.0
Center,320000.0,monolit,Buzand St,Yerevan,121.0,3.0
Center,310000.0,stone,Isahakyan St,Yerevan,140.0,3.0
Center,235000.0,stone,Yekmalyan St,Yerevan,120.0,3.0
Center,320000.0,monolit,Northern Ave,Yerevan,104.0,3.2
Center,230000.0,other,Antarayin St,Yerevan,125.0,2.8
Center,235000.0,stone,Mashtots Ave,Yerevan,124.0,3.2
Center,230000.0,stone,Mashtots Ave,Yerevan,110.0,3.0
